Rank,Name,Team,Status,Position,GP,MIN,FGM,FGA,FG%,FTM,FTA,FT%,3PM,REB,AST,STL,BLK,TO,PTS
1,Nikola Jokic,DEN,,C,72.0,35.6,10.6,18.4,0.575,5.4,6.6,0.817,1.7,12.7,10.1,1.6,0.8,3.4,28.3
2,Victor Wembanyama,SA,,C,67.0,31.9,9.2,18.3,0.502,5.8,7.0,0.823,2.2,12.2,3.5,1.1,3.5,2.9,26.3
3,Shai Gilgeous-Alexander,OKC,,PG,76.0,33.8,10.9,20.3,0.536,7.8,8.8,0.883,1.7,4.9,6.4,1.7,0.9,2.3,31.3
4,Luka Doncic,LAL,,PG,68.0,36.7,10.9,22.9,0.477,7.2,9.2,0.783,4.0,8.5,8.9,1.6,0.5,4.0,33.0
5,Anthony Edwards,MIN,,"SG, SF",72.0,35.8,10.3,21.4,0.48,6.1,7.6,0.804,3.6,5.2,4.0,1.3,0.8,3.0,30.3
6,Tyrese Maxey,PHI,,"PG, SG",71.0,34.2,8.7,19.1,0.456,4.6,5.2,0.886,2.8,3.5,5.8,1.6,0.6,2.1,24.8
7,Donovan Mitchell,CLE,,"SG, PG",71.0,33.9,9.3,19.9,0.465,5.0,5.8,0.854,3.3,4.8,5.7,1.6,0.3,2.6,26.8
8,Jayson Tatum,BOS,DTD,"PF, SF",70.0,36.2,9.1,20.1,0.454,5.1,6.2,0.818,3.4,8.6,5.8,1.1,0.5,2.8,26.7
9,Jalen Johnson,ATL,,PF,72.0,36.7,8.6,17.5,0.49,4.2,5.3,0.785,1.7,10.6,7.9,1.3,0.5,3.4,23.0
10,Scottie Barnes,TOR,,"SF, SG",72.0,33.8,7.3,15.0,0.484,3.3,4.1,0.793,1.0,7.7,6.0,1.4,1.3,2.7,18.8
11,Cade Cunningham,DET,,PG,69.0,34.8,8.9,19.3,0.461,4.8,5.9,0.818,2.0,5.6,9.8,1.4,0.8,3.8,24.6
12,Tyrese Haliburton,IND,DTD,"PG, SG",64.0,33.1,6.8,14.3,0.475,2.6,3.1,0.854,2.9,3.7,9.9,1.3,0.7,1.9,19.2
13,Amen Thompson,HOU,,"SF, SG",78.0,36.5,6.8,12.8,0.535,3.7,4.8,0.773,0.3,7.7,5.1,1.5,0.7,2.3,17.7
14,Anthony Davis,WSH,DTD,"C, PF",61.0,32.2,8.6,16.0,0.538,4.9,6.2,0.796,0.4,11.4,3.2,1.1,2.1,2.0,22.6
15,Bam Adebayo,MIA,DTD,"C, PF",73.0,32.4,6.9,15.7,0.442,4.5,5.8,0.778,1.8,10.0,3.2,1.2,0.7,1.6,20.2
16,Derrick White,BOS,,"SG, PG",77.0,34.3,5.7,14.2,0.401,2.3,2.6,0.895,2.9,4.5,5.3,1.1,1.2,1.8,16.6
