"ID","Player","Team","Position","Rookie","RkOv","Status","Opponent","Score","%D","ADP","FG%","3PTM","FT%","PTS","REB","AST","ST","BLK","TO"
"*03e75*","Nikola Jokic","DEN","C","","6","FA","","97.13","100","1.5",".569","1.7",".831","27.7","12.9","10.7","1.4","0.8","3.7"
"*06cch*","Victor Wembanyama","SA","C","","5","FA","OKC Wed 9:30AM","97.28","100","1.6",".512","1.9",".827","25.0","11.5","3.1","1.0","3.1","2.4"
"*04qro*","Shai Gilgeous-Alexander","OKC","G","","10","FA","@SA Wed 9:30AM","94.63","100","3.3",".553","1.7",".879","31.1","4.3","6.6","1.4","0.8","2.2"
"*04kj6*","Luka Doncic","LAL","G","","2","FA","","98.58","100","3.7",".476","4.0",".780","33.5","7.7","8.3","1.6","0.5","4.0"
"*05uib*","Cade Cunningham","DET","G","","14","FA","BOS Wed 3:00AM","93.24","100","5.5",".461","2.0",".812","23.9","5.5","9.9","1.4","0.8","3.7"
"*05qsq*","Tyrese Maxey","PHI","G","","1","FA","@NY Wed 7:00AM","100","100","8.1",".462","3.1",".892","28.3","4.1","6.6","1.9","0.8","2.4"
"*03xmv*","Jayson Tatum","BOS","F","","316","FA","@DET Wed 3:00AM","46.64","100","8.1",".411","2.9",".823","21.8","10.0","5.3","1.4","0.2","2.4"
"*05qug*","Anthony Edwards","MIN","G,F","","19","FA","","92.02","100","8.9",".489","3.4",".796","28.8","5.0","3.7","1.4","0.8","2.9"
"*031m2*","Giannis Antetokounmpo","MIA","F,C","","150","FA","","69.87","100","9.3",".624","0.4",".650","27.6","9.8","5.4","0.9","0.7","3.2"
"*05uiu*","Jalen Johnson","ATL","F","","18","FA","","92.35","100","9.6",".489","1.7",".788","22.5","10.3","7.9","1.2","0.4","3.4"
"*05qtv*","Tyrese Haliburton","IND","G","","1031","FA","","0","100","11.3","0","0","0","0","0","0","0","0","0"
"*06v5l*","Cooper Flagg","DAL","G,F","","24","FA","","91.15","100","11.7",".468","1.0",".827","21.0","6.7","4.5","1.2","0.9","2.3"
"*05uie*","Scottie Barnes","TOR","F,C","","4","FA","","97.33","100","12.1",".507","0.8",".815","18.1","7.5","5.9","1.4","1.4","2.6"
"*04ewe*","Donovan Mitchell","CLE","G","","16","FA","","92.46","100","14.1",".483","3.2",".865","27.9","4.5","5.7","1.5","0.3","2.8"
"*001aw*","Kevin Durant","HOU","G,F","","9","FA","","95.39","100","16.9",".520","2.4",".874","26.0","5.5","4.8","0.8","0.9","3.2"
"*03ad3*","Karl-Anthony Towns","NY","F,C","","37","FA","PHI Wed 7:00AM","88.4","100","16.9",".501","1.5",".858","20.1","11.9","3.0","0.9","0.5","2.5"
"*01enh*","Stephen Curry","GS","G","","99","FA","","76.54","100","18.6",".468","4.4",".923","26.6","3.6","4.7","1.1","0.4","2.8"
"*042n4*","Jamal Murray","DEN","G","","17","FA","","92.39","100","20.3",".483","3.3",".887","25.4","4.4","7.1","0.9","0.4","2.3"
"*05uiq*","Alperen Sengun","HOU","F,C","","20","FA","","91.76","100","20.8",".519","0.6",".691","20.4","8.9","6.2","1.2","1.1","3.2"
"*06ca8*","Amen Thompson","HOU","G,F","","31","FA","","89.04","100","22.2",".534","0.3",".779","18.3","7.8","5.3","1.5","0.6","2.4"
"*04qrk*","Trae Young","WAS","G","","357","FA","","39.66","100","22.7",".458","1.8",".825","17.9","2.0","8.0","0.9","0.1","2.6"
"*05uus*","Austin Reaves","LAL","G,F","","91","FA","","77.64","100","23.8",".490","2.3",".871","23.3","4.7","5.5","1.1","0.4","3.0"
"*05qto*","LaMelo Ball","MIN","G","","29","FA","","89.12","100","24.4",".407","3.8",".899","20.1","4.8","7.1","1.2","0.2","2.8"
"*06211*","Chet Holmgren","OKC","F,C","","33","FA","@SA Wed 9:30AM","88.94","100","25.3",".557","1.3",".792","17.1","8.9","1.7","0.6","1.9","1.6"
"*05uig*","Josh Giddey","CHI","G","","82","FA","","79.04","100","26.7",".448","1.9",".763","17.0","8.3","9.1","1.0","0.5","3.6"
"*01eo6*","James Harden","CLE","G","","25","FA","","91","100","26.8",".434","3.1",".884","23.6","4.8","8.0","1.1","0.4","3.5"
"*03nwm*","Devin Booker","PHO","G,F","","78","FA","","80.27","100","26.9",".456","1.9",".873","26.1","3.9","6.0","0.8","0.3","3.1"
"*02nf1*","Anthony Davis","WAS","F,C","","291","FA","","50.42","100","27.5",".506","0.5",".728","20.4","11.1","2.8","1.1","1.6","2.0"
"*027oz*","Kawhi Leonard","LAC","F","","11","FA","","94.59","100","29.3",".505","2.6",".892","27.9","6.4","3.6","1.9","0.4","2.0"
"*05uir*","Trey Murphy","NO","G,F","","15","FA","","93.03","100","29.5",".470","3.2",".886","21.5","5.7","3.8","1.5","0.4","1.8"
"*05uid*","Evan Mobley","CLE","F,C","","39","FA","","88.13","100","29.6",".546","1.0",".606","18.2","9.0","3.6","0.7","1.7","1.9"
"*04qsa*","Jalen Brunson","NY","G","","55","FA","PHI Wed 7:00AM","84.96","100","32.2",".467","2.6",".841","26.0","3.3","6.8","0.8","0.1","2.4"
"*04ewt*","Derrick White","BOS","G","","3","FA","@DET Wed 3:00AM","98.5","100","34.1",".394","2.7",".902","16.5","4.4","5.4","1.1","1.3","1.7"
"*04azw*","Lauri Markkanen","UTA","F","","109","FA","","75.82","100","34.6",".477","2.7",".896","26.7","6.9","2.1","1.0","0.5","1.5"
"*04ewf*","Bam Adebayo","MIA","F,C","","8","FA","","96.09","100","36",".442","1.7",".778","20.1","10.0","3.2","1.2","0.7","1.6"
"*0621b*","Jalen Williams","OKC","G,F","","246","FA","@SA Wed 9:30AM","57.05","100","37.3",".484","0.7",".837","17.1","4.6","5.5","1.2","0.3","1.9"
"*0621l*","Walker Kessler","LAL","C","","451","FA","","25.81","100","38",".703","1.2",".700","14.4","10.8","3.0","1.4","1.8","3.2"
"*05qtj*","Deni Avdija","POR","G,F","","44","FA","","87.24","100","38.3",".462","1.9",".802","24.2","6.9","6.7","0.8","0.6","3.8"
"*042n7*","Domantas Sabonis","SAC","F,C","","326","FA","","44.56","100","38.5",".543","0.3",".727","15.8","11.4","4.1","0.9","0.2","2.7"
"*04qrj*","Jaren Jackson","UTA","F,C","","87","FA","","78.26","100","41.1",".476","1.8",".803","19.4","5.7","2.0","1.1","1.4","2.2"
"*06cca*","Brandon Miller","CHA","G,F","","46","FA","","87.1","100","42.4",".435","3.1",".892","20.2","4.9","3.3","1.0","0.7","2.5"
"*0621c*","Jalen Duren","DET","C","","75","FA","BOS Wed 3:00AM","80.64","100","42.8",".650","0.0",".747","19.5","10.5","2.0","0.8","0.8","1.9"
"*03lls*","Jaylen Brown","PHI","G,F","","32","FA","@NY Wed 7:00AM","89.02","100","43.9",".477","2.0",".795","28.7","6.9","5.1","1.0","0.4","3.6"
"*06v5n*","Kon Knueppel","CHA","G,F","","43","FA","","87.5","100","45.2",".475","3.4",".863","18.5","5.3","3.4","0.7","0.2","2.0"
"*05qtt*","Onyeka Okongwu","ATL","F,C","","7","FA","","96.19","100","47.6",".480","1.9",".757","15.2","7.6","3.1","1.1","1.1","1.7"
"*05qt3*","Desmond Bane","ORL","G,F","","21","FA","","91.63","100","47.9",".484","2.0",".908","20.1","4.1","4.1","1.0","0.5","2.0"
"*06210*","Paolo Banchero","ORL","F","","54","FA","","85.33","100","49.2",".459","1.2",".775","22.2","8.4","5.2","0.7","0.6","3.1"
"*06mjz*","Donovan Clingan","POR","C","","30","FA","","89.05","100","49.5",".520","1.1",".680","12.1","11.6","2.1","0.6","1.7","1.2"
"*027oj*","Kyrie Irving","DAL","G","","1109","FA","","0","100","51.3","0","0","0","0","0","0","0","0","0"
"*051ox*","Nickeil Alexander-Walker","ATL","G,F","","13","FA","","93.46","100","51.4",".459","3.2",".902","20.8","3.4","3.7","1.3","0.5","2.1"
"*051ol*","Darius Garland","LAC","G","","186","FA","","65.43","100","54",".460","2.7",".861","18.8","2.4","6.7","1.0","0.2","2.9"
"*042nq*","Dejounte Murray","NO","G","","375","FA","","36.62","100","54.8",".484","1.4",".867","16.7","5.4","6.4","1.6","0.2","3.4"
"*0011e*","LeBron James","PHI","F","","61","FA","@NY Wed 7:00AM","83.58","100","55.4",".515","1.3",".737","20.9","6.1","7.2","1.2","0.6","3.0"
"*042nm*","Pascal Siakam","IND","F,C","","57","FA","","84.78","100","57.5",".484","1.7",".693","24.0","6.6","3.8","1.1","0.4","2.2"
"*06cby*","Keyonte George","UTA","G","","93","FA","","77.54","100","57.6",".456","2.5",".892","23.6","3.7","6.1","1.1","0.3","3.1"
"*04ewn*","OG Anunoby","NY","F","","36","FA","PHI Wed 7:00AM","88.63","100","57.9",".484","2.3",".828","16.7","5.2","2.2","1.6","0.7","1.8"
"*06217*","Dyson Daniels","ATL","G,F","","79","FA","","79.65","100","58.3",".517","0.3",".615","11.9","6.8","5.9","2.0","0.4","1.8"
"*06mk7*","Kel'el Ware","MIL","F,C","","63","FA","","82.92","100","58.6",".530","1.2",".740","11.1","9.0","0.7","0.8","1.1","0.8"
"*076vc*","Cameron Boozer","MEM","F","R","710","FA","","0","100","58.9","0","0","0","0","0","0","0","0","0"
"*05uii*","Franz Wagner","ORL","F","","223","FA","","60.88","100","59.6",".481","1.4",".823","20.6","5.2","3.3","0.9","0.3","1.7"
"*03al2*","Joel Embiid","PHI","C","","123","FA","@NY Wed 7:00AM","73.56","100","60.1",".489","1.4",".854","26.9","7.7","3.9","0.6","1.2","2.9"
"*06mk3*","Matas Buzelis","CHI","F","","27","FA","","90.88","100","60.2",".463","2.2",".786","16.3","5.8","2.1","0.7","1.5","2.1"
"*06mjw*","Stephon Castle","SA","G","","77","FA","OKC Wed 9:30AM","80.38","100","61.6",".471","1.2",".734","16.7","5.3","7.4","1.1","0.3","3.2"
"*051ot*","Tyler Herro","MIL","G","","230","FA","","59.96","100","61.9",".480","2.5",".917","20.5","4.8","4.1","0.7","0.4","1.9"
"*06mju*","Alex Sarr","WAS","F,C","","89","FA","","77.92","100","64",".482","1.0",".692","16.3","7.4","2.7","0.8","2.0","1.7"
"*04qrr*","Michael Porter","BKN","F","","72","FA","","81.13","100","64.9",".463","3.4",".859","24.2","7.1","3.0","1.1","0.3","2.3"
"*042nt*","Ivica Zubac","IND","C","","189","FA","","65.01","100","66.6",".598","0.0",".711","14.1","10.6","2.2","0.4","0.8","1.8"
"*03ajv*","Julius Randle","BKN","F","","40","FA","","87.94","100","67.6",".481","1.4",".802","21.1","6.7","5.0","1.1","0.2","2.7"
"*06227*","Ryan Rollins","MIL","G","","35","FA","","88.68","100","68.2",".472","2.5",".796","17.3","4.6","5.6","1.5","0.4","2.7"
"*06mk1*","Zach Edey","MEM","C","","395","FA","","33.22","100","69.3",".633","0.1",".781","13.6","11.1","1.1","0.6","1.9","2.4"
"*02xg9*","Rudy Gobert","MIN","C","","71","FA","","81.27","100","71.3",".682","0.0",".526","10.9","11.5","1.7","0.8","1.6","1.4"
