Rank,Player,Team,GP,PTS,3PM,REB,AST,STL,BLK,TO,FG%,FT%,VALUE
1,Nikola Jokić,DEN,65,27.7,1.7,12.9,10.7,1.4,0.8,3.7,56.9,83.1,5.64
2,Victor Wembanyama,SAS,64,25.0,1.9,11.5,3.1,1.0,3.1,2.4,51.2,82.7,5.27
3,Shai Gilgeous-Alexander,OKC,68,31.1,1.7,4.3,6.6,1.4,0.8,2.2,55.3,87.9,5.42
4,Tyrese Maxey,PHI,70,28.3,3.1,4.1,6.6,1.9,0.8,2.4,46.2,89.2,4.23
5,Luka Dončić,LAL,64,33.4,4.0,7.7,8.2,1.6,0.5,4.0,47.6,78.0,3.95
6,Cade Cunningham,DET,64,23.9,2.0,5.5,9.9,1.4,0.8,3.7,46.1,81.1,2.78
7,Anthony Edwards,MIN,61,28.8,3.4,5.0,3.7,1.4,0.8,2.9,48.9,79.6,2.92
8,Cooper Flagg,DAL,70,21.0,1.0,6.7,4.5,1.2,0.9,2.3,46.8,82.7,1.90
9,Donovan Mitchell,CLE,70,27.9,3.2,4.5,5.7,1.5,0.3,2.8,48.3,86.5,3.27
10,Jalen Johnson,ATL,72,22.5,1.7,10.3,7.9,1.2,0.4,3.4,48.9,78.8,2.55
11,Lauri Markkanen,UTA,42,26.6,2.7,6.8,2.1,1.0,0.5,1.5,47.8,89.6,3.29
12,Amen Thompson,HOU,79,18.3,0.3,7.8,5.3,1.5,0.6,2.4,53.4,77.9,1.86
13,Scottie Barnes,TOR,80,18.1,0.8,7.5,5.9,1.4,1.4,2.6,50.7,81.5,2.62
14,Evan Mobley,CLE,65,18.2,1.0,9.0,3.6,0.7,1.7,1.9,54.6,60.6,1.98
15,Chet Holmgren,OKC,69,17.1,1.3,8.9,1.7,0.6,1.9,1.6,55.7,79.2,2.26
16,Jayson Tatum,BOS,16,21.8,2.9,10.0,5.3,1.4,0.2,2.4,41.1,82.3,2.46
17,Jamal Murray,DEN,75,25.4,3.3,4.4,7.1,0.9,0.4,2.3,48.3,88.7,3.08
18,Alperen Sengun,HOU,72,20.4,0.6,8.9,6.2,1.2,1.1,3.2,51.9,69.1,1.86
19,Karl-Anthony Towns,NYK,75,20.1,1.5,11.9,3.0,0.9,0.5,2.5,50.1,85.8,2.38
20,Trey Murphy III,NOP,66,21.5,3.2,5.7,3.8,1.5,0.4,1.8,47.0,88.6,2.59
21,Kawhi Leonard,LAC,65,27.5,2.6,6.2,3.6,1.8,0.4,2.0,50.8,88.8,4.17
22,Alex Sarr,WAS,48,16.3,1.0,7.4,2.7,0.8,2.0,1.7,48.2,69.2,1.83
23,Bam Adebayo,MIA,73,20.1,1.7,10.0,3.2,1.2,0.7,1.6,44.2,77.8,2.04
24,Derrick White,BOS,77,16.5,2.7,4.4,5.4,1.1,1.3,1.7,39.5,90.2,2.08
25,Franz Wagner,ORL,34,20.6,1.4,5.2,3.3,0.9,0.3,1.7,48.1,82.3,1.33
26,Giannis Antetokounmpo,MIL,36,27.6,0.4,9.8,5.4,0.9,0.7,3.2,62.4,65.0,2.00
27,Austin Reaves,LAL,51,22.9,2.3,4.7,5.5,1.1,0.4,2.9,48.7,86.8,2.50
28,Tyrese Haliburton,IND,,,,,,,,,,,
29,Jalen Brunson,NYK,74,26.0,2.6,3.3,6.8,0.8,0.1,2.4,46.7,84.1,1.87
30,Anthony Davis,DAL,20,20.4,0.5,11.1,2.8,1.1,1.6,2.0,50.6,72.8,2.53
31,Paolo Banchero,ORL,72,22.2,1.2,8.4,5.2,0.7,0.6,3.1,45.9,77.5,1.04
32,Jalen Williams,OKC,33,17.1,0.7,4.6,5.5,1.2,0.3,1.9,48.4,83.7,1.04
33,Onyeka Okongwu,ATL,74,15.2,1.9,7.6,3.1,1.1,1.1,1.7,48.0,75.7,1.76
34,Desmond Bane,ORL,82,20.1,2.0,4.1,4.1,1.0,0.5,2.0,48.3,90.8,1.80
35,Jaren Jackson Jr.,MEM,48,19.4,1.8,5.7,2.0,1.1,1.4,2.2,47.6,80.3,1.70
36,Donovan Clingan,POR,77,12.1,1.1,11.5,2.1,0.6,1.7,1.2,52.1,69.2,1.84
37,Michael Porter Jr.,BKN,52,24.2,3.4,7.1,3.0,1.1,0.3,2.3,46.3,85.9,2.13
38,Jaylen Brown,BOS,71,28.5,2.0,6.9,5.1,1.0,0.4,3.6,47.6,79.5,1.75
39,Deni Avdija,POR,66,23.8,1.9,6.8,6.6,0.8,0.6,3.7,46.0,80.1,1.70
40,Devin Booker,PHX,64,26.1,1.9,3.9,6.0,0.8,0.3,3.2,45.6,87.3,2.17
41,Stephen Curry,GSW,43,26.5,4.4,3.6,4.7,1.1,0.4,2.8,47.0,92.2,3.09
42,Kevin Durant,HOU,78,26.0,2.4,5.5,4.8,0.8,0.9,3.2,52.0,87.4,3.01
43,Dyson Daniels,ATL,76,11.9,0.3,6.8,5.9,2.0,0.4,1.8,51.7,61.5,1.71
44,Jalen Suggs,ORL,57,13.8,2.1,3.9,5.5,1.8,0.7,2.7,43.5,85.5,1.46
45,Brandon Miller,CHA,65,20.2,3.1,4.9,3.3,1.0,0.7,2.5,43.5,89.2,1.56
46,James Harden,LAC,70,23.2,3.0,4.8,7.9,1.1,0.4,3.5,43.2,88.2,3.00
47,Immanuel Quickley,TOR,70,16.4,2.5,4.0,5.9,1.3,0.1,1.5,44.3,82.1,1.52
48,Joel Embiid,PHI,38,26.9,1.4,7.7,3.9,0.6,1.2,2.9,48.9,85.4,3.08
49,OG Anunoby,NYK,67,16.7,2.3,5.2,2.2,1.6,0.7,1.8,48.4,82.8,1.72
50,Julius Randle,MIN,79,21.1,1.4,6.7,5.0,1.1,0.2,2.7,48.1,80.2,1.36
51,Kon Knueppel,CHA,81,18.5,3.4,5.3,3.4,0.7,0.2,2.0,47.5,86.3,1.18
52,Jalen Duren,DET,70,19.5,0.0,10.5,2.0,0.8,0.8,1.9,65.0,74.7,1.53
53,VJ Edgecombe,PHI,75,16.0,2.0,5.6,4.2,1.4,0.5,1.8,43.8,81.8,1.40
54,Tyler Herro,MIA,33,20.5,2.5,4.8,4.1,0.7,0.4,1.9,48.0,91.7,1.45
55,Mikal Bridges,NYK,82,14.4,1.9,3.8,3.7,1.3,0.8,1.0,49.0,82.7,1.37
56,Keyonte George,UTA,54,23.5,2.5,3.6,6.1,1.1,0.3,3.1,45.9,89.1,2.44
57,Ryan Rollins,MIL,74,17.3,2.5,4.6,5.6,1.5,0.4,2.7,47.2,79.6,1.45
