Rank,Player,Team,Pos,DraftZ,PTS,FG,FG3,FT,RB,AST,BLK,STL,TO,Min,FGA,FGpct,FTA,FTpct
1,Victor Wembanyama,SA,C,16.78,25.6,8.7,2.3,5.8,11.4,3.5,3.1,1.3,3.4,35.8,17.1,.511,7.1,.825
2,Nikola Jokic,DEN,C,16.26,27.7,9.9,1.8,6.1,11.9,10.2,.7,1.8,3.9,36.0,17.4,.569,7.4,.833
3,Shai Gilgeous-Alexander,OKC,PG,17.17,30.8,10.7,1.6,7.9,4.4,6.8,1.0,1.4,2.2,30.6,19.3,.554,8.9,.881
4,Luka Doncic,LAL,PG,10.93,31.1,10.3,3.2,7.4,8.3,9.8,.6,1.7,4.5,38.3,21.5,.476,9.5,.781
5,Kevin Durant,HOU,"PF,SF",11.16,24.0,8.4,2.3,4.8,5.1,4.5,.8,.8,3.0,37.6,16.2,.521,5.5,.874
6,Karl-Anthony Towns,NY,C,9.82,20.5,6.9,1.9,4.7,11.3,3.5,.7,.8,2.0,33.6,13.8,.501,5.5,.859
7,Scottie Barnes,TOR,"SF,SG",10.70,18.6,7.3,.9,3.1,7.7,7.0,1.4,1.7,2.9,34.2,14.4,.507,3.8,.816
8,Cade Cunningham,DET,PG,8.77,24.8,9.0,1.7,5.1,5.5,9.2,.9,1.5,3.9,40.0,19.5,.461,6.3,.813
9,Anthony Edwards,MIN,"SG,SF",9.20,28.2,9.5,3.7,5.5,5.4,3.3,.7,1.4,3.0,34.5,19.4,.489,6.9,.797
10,Tyrese Maxey,PHI,"PG,SG",9.45,23.4,8.2,2.7,4.3,3.3,5.7,.5,1.6,2.1,40.6,17.6,.463,4.9,.894
11,Jayson Tatum,BOS,"PF,SF",8.53,25.7,8.7,3.5,4.8,8.2,5.9,.4,1.2,2.5,39.1,21.2,.411,5.8,.823
12,Jamal Murray,DEN,PG,10.90,22.1,7.5,3.2,3.9,4.0,7.5,.5,.9,2.0,36.8,15.5,.483,4.4,.889
13,Donovan Mitchell,CLE,"SG,PG",10.37,27.2,9.2,3.8,5.0,4.4,5.0,.2,1.3,2.4,29.6,18.9,.484,5.8,.865
14,James Harden,CLE,"PG,SG",10.06,20.3,5.9,2.8,5.7,4.3,8.2,.6,1.2,2.8,38.0,13.7,.434,6.4,.885
15,Jalen Johnson,ATL,PF,9.22,21.1,7.8,1.5,3.9,9.9,8.0,.6,1.5,3.0,29.8,16.0,.489,5.0,.790
16,Cooper Flagg,DAL,"SF,PF",7.71,22.6,8.5,1.5,4.3,7.0,4.1,1.2,1.5,2.1,34.1,18.0,.468,5.2,.828
17,Stephen Curry,GS,PG,9.47,25.0,8.0,4.7,4.4,3.5,6.0,.4,1.0,2.3,28.7,17.1,.468,4.7,.925
18,Kawhi Leonard,TOR,"SF,PF",8.46,23.1,8.1,2.1,4.8,4.8,3.2,.3,1.4,1.7,36.4,16.1,.505,5.3,.894
19,Austin Reaves,LAL,"SG,PG",8.98,20.6,6.5,2.0,5.6,4.2,6.6,.3,1.3,3.1,30.1,13.2,.490,6.4,.871
20,Chet Holmgren,OKC,"C,PF",8.09,17.5,6.4,1.3,3.3,8.5,1.8,1.8,.6,1.6,34.6,11.5,.557,4.2,.793
21,Desmond Bane,ORL,"SG,SF",9.08,19.4,6.7,2.4,3.6,4.6,4.3,.5,1.0,1.9,39.6,13.8,.484,3.9,.909
22,Trae Young,WSH,PG,7.34,22.1,7.8,2.9,3.4,2.8,10.2,.1,1.3,4.3,30.5,16.7,.471,4.4,.784
23,Devin Booker,PHX,"SG,PG",6.91,24.7,7.9,2.4,6.5,3.7,6.9,.2,.8,3.3,39.7,17.3,.456,7.5,.875
24,Amen Thompson,HOU,"SF,SG",6.43,17.9,6.9,.3,3.8,7.6,3.4,1.1,1.4,2.2,31.4,12.9,.534,4.8,.780
25,Anthony Davis,WSH,"PF,C",5.60,22.3,9.3,.6,3.2,10.6,2.7,1.9,1.3,2.0,34.9,18.3,.506,4.4,.731
26,Giannis Antetokounmpo,MIA,"PF,C",4.76,30.8,11.7,.3,7.2,11.2,7.1,1.0,.9,2.7,30.0,18.7,.624,11.1,.650
27,Jaylen Brown,PHI,"SF,SG",6.28,22.6,8.0,1.9,4.6,5.4,3.9,.5,1.3,2.8,30.6,16.8,.477,5.8,.796
28,Lauri Markkanen,UTAH,"PF,SF",8.76,24.5,8.2,3.1,5.1,6.5,1.7,.5,1.0,1.4,39.2,17.1,.477,5.7,.898
29,Domantas Sabonis,SAC,"C,PF",6.02,17.4,6.8,.7,3.2,11.8,6.1,.3,.6,2.4,30.7,12.5,.544,4.3,.728
